match_id,season,competition,player,position_id,position,from_time,to_time,from_period,to_period,start_reason,end_reason
3749522,2003/2004,Premier League,Mark Kennedy,16,Left Midfield,00:00,,1,,Starting XI,Final Whistle
3749278,2003/2004,Premier League,Thierry Henry,24,Left Center Forward,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Lionel Andrés Messi Cuccittini,17,Right Wing,45:00,72:48,2,2,Tactical Shift,Tactical Shift
3773593,2020/2021,La Liga,Sergi Roberto Carnicer,2,Right Back,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Lionel Andrés Messi Cuccittini,23,Center Forward,00:00,45:00,1,2,Starting XI,Tactical Shift
3773377,2020/2021,La Liga,Lionel Andrés Messi Cuccittini,19,Center Attacking Midfield,72:48,78:22,2,2,Tactical Shift,Tactical Shift
3749522,2003/2004,Premier League,Dean Sturridge,12,Right Midfield,85:03,,2,,Substitution - On (Tactical),Final Whistle
3773377,2020/2021,La Liga,Lionel Andrés Messi Cuccittini,23,Center Forward,78:22,,2,,Tactical Shift,Final Whistle
3773593,2020/2021,La Liga,Norberto Murara Neto,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3749278,2003/2004,Premier League,Sulzeer Jeremiah ''Sol' Campbell,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle
3773593,2020/2021,La Liga,Clément Lenglet,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
3749278,2003/2004,Premier League,Fredrik Ljungberg,22,Right Center Forward,79:01,,2,,Tactical Shift,Final Whistle
3749522,2003/2004,Premier League,Shaun Newton,23,Center Forward,76:01,,2,,Substitution - On (Tactical),Final Whistle
3773377,2020/2021,La Liga,Clément Lenglet,21,Left Wing,78:21,78:22,2,2,Substitution - On (Tactical),Tactical Shift
3749278,2003/2004,Premier League,Fredrik Ljungberg,12,Right Midfield,00:00,79:01,1,2,Starting XI,Tactical Shift
3773593,2020/2021,La Liga,Miralem Pjanić,9,Right Defensive Midfield,77:34,,2,,Substitution - On (Tactical),Final Whistle
3773377,2020/2021,La Liga,Clément Lenglet,5,Left Center Back,78:22,,2,,Tactical Shift,Final Whistle
3749278,2003/2004,Premier League,Robert Pirès,16,Left Midfield,00:00,,1,,Starting XI,Final Whistle
3749522,2003/2004,Premier League,Henri Camara,12,Right Midfield,00:00,85:03,1,2,Starting XI,Substitution - Off (Tactical)
3773377,2020/2021,La Liga,Miralem Pjanić,13,Right Center Midfield,85:05,,2,,Substitution - On (Tactical),Final Whistle
3773593,2020/2021,La Liga,Frenkie de Jong,11,Left Defensive Midfield,00:00,,1,,Starting XI,Final Whistle
3749278,2003/2004,Premier League,Jens Lehmann,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Frenkie de Jong,10,Center Defensive Midfield,45:00,72:48,2,2,Substitution - On (Tactical),Tactical Shift
3773377,2020/2021,La Liga,Frenkie de Jong,15,Left Center Midfield,45:00,45:00,2,2,Tactical Shift,Substitution - On (Tactical)
3773377,2020/2021,La Liga,Frenkie de Jong,15,Left Center Midfield,72:48,,2,,Tactical Shift,Final Whistle
3749278,2003/2004,Premier League,Gaël Clichy,6,Left Back,00:00,,1,,Starting XI,Final Whistle
3749522,2003/2004,Premier League,Oleg Luzhny,2,Right Back,00:00,,1,,Starting XI,Final Whistle
3773593,2020/2021,La Liga,Francisco António Machado Mota de Castro Trincão,17,Right Wing,77:23,,2,,Substitution - On (Tactical),Final Whistle
3749278,2003/2004,Premier League,Ray Parlour,12,Right Midfield,79:01,,2,,Tactical Shift,Final Whistle
3749278,2003/2004,Premier League,Ray Parlour,22,Right Center Forward,69:07,79:01,2,2,Substitution - On (Tactical),Tactical Shift
3749522,2003/2004,Premier League,Michael Oakes,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Marc-André ter Stegen,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle
3773593,2020/2021,La Liga,Pedro González López,19,Center Attacking Midfield,69:21,,2,,Substitution - On (Tactical),Final Whistle
3773377,2020/2021,La Liga,Sergino Dest,7,Right Wing Back,78:22,,2,,Tactical Shift,Final Whistle
3773377,2020/2021,La Liga,Sergino Dest,2,Right Back,00:00,78:22,1,2,Starting XI,Tactical Shift
3773593,2020/2021,La Liga,Anssumane Fati,21,Left Wing,00:00,69:09,1,2,Starting XI,Substitution - Off (Tactical)
3749278,2003/2004,Premier League,Pascal Cygan,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
3749522,2003/2004,Premier League,Alex Rae,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Francisco António Machado Mota de Castro Trincão,17,Right Wing,72:48,,2,,Tactical Shift,Final Whistle
3749278,2003/2004,Premier League,Kolo Habib Touré,2,Right Back,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Francisco António Machado Mota de Castro Trincão,19,Center Attacking Midfield,72:46,72:48,2,2,Substitution - On (Tactical),Tactical Shift
3749278,2003/2004,Premier League,Gilberto Aparecido da Silva,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle
3749522,2003/2004,Premier League,Paul Butler,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle
15986,2018/2019,La Liga,Philippe Coutinho Correia,15,Left Center Midfield,57:51,,2,,Substitution - On (Tactical),Final Whistle
3749528,2003/2004,Premier League,Ashley Cole,6,Left Back,00:00,51:44,1,2,Starting XI,Substitution - Off (Tactical)
16010,2018/2019,La Liga,Yuri Berchiche Izeta,16,Left Midfield,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Pedro González López,9,Right Defensive Midfield,45:00,78:22,2,2,Tactical Shift,Tactical Shift
3749522,2003/2004,Premier League,Colin Cameron,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle
3773377,2020/2021,La Liga,Pedro González López,13,Right Center Midfield,00:00,45:00,1,2,Starting XI,Tactical Shift
3773377,2020/2021,La Liga,Pedro González López,13,Right Center Midfield,78:22,85:05,2,2,Tactical Shift,Substitution - Off (Tactical)
3773466,2020/2021,La Liga,Sergio Busquets i Burgos,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle
16010,2018/2019,La Liga,Mikel San José Domínguez,11,Left Defensive Midfield,66:44,,2,,Substitution - On (Tactical),Final Whistle
3773377,2020/2021,La Liga,Ronald Federico Araújo da Silva,3,Right Center Back,00:00,78:22,1,2,Starting XI,Tactical Shift
