match_id,season,competition,team,player
3773631,2020/2021,La Liga,Real Betis,Rodrigo Sánchez Rodriguez
3773631,2020/2021,La Liga,Real Betis,Paul Edgar Akouokou
3773631,2020/2021,La Liga,Real Betis,Daniel Rebollo Franco
3773631,2020/2021,La Liga,Barcelona,Martin Braithwaite Christensen
3773631,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos
3773631,2020/2021,La Liga,Barcelona,Jordi Alba Ramos
3773631,2020/2021,La Liga,Barcelona,Ousmane Dembélé
3773631,2020/2021,La Liga,Barcelona,Antoine Griezmann
3773631,2020/2021,La Liga,Barcelona,Samuel Yves Umtiti
3773631,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini
3773631,2020/2021,La Liga,Barcelona,Norberto Murara Neto
3773631,2020/2021,La Liga,Barcelona,Clément Lenglet
3773631,2020/2021,La Liga,Barcelona,Miralem Pjanić
3773631,2020/2021,La Liga,Barcelona,Frenkie de Jong
3773631,2020/2021,La Liga,Barcelona,Héctor Junior Firpo Adames
3773631,2020/2021,La Liga,Barcelona,Marc-André ter Stegen
3773631,2020/2021,La Liga,Barcelona,Sergino Dest
3773631,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão
3773631,2020/2021,La Liga,Barcelona,Ricard Puig Martí
3773631,2020/2021,La Liga,Barcelona,Matheus Fernandes Siqueira
3773631,2020/2021,La Liga,Barcelona,Pedro González López
3773526,2020/2021,La Liga,Barcelona,Sergino Dest
3773526,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão
3773526,2020/2021,La Liga,Barcelona,Ricard Puig Martí
3773526,2020/2021,La Liga,Barcelona,Álex Collado Gutiérrez
3773526,2020/2021,La Liga,Barcelona,Matheus Fernandes Siqueira
3773526,2020/2021,La Liga,Barcelona,Pedro González López
3773526,2020/2021,La Liga,Barcelona,Ignacio Peña Sotorres
3773526,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma
3773526,2020/2021,La Liga,Barcelona,Konrad De La Fuente
3773526,2020/2021,La Liga,Barcelona,Óscar Mingueza García
16086,2018/2019,La Liga,Espanyol,Sergi Darder Moll
303674,2019/2020,La Liga,Sevilla,Marcos Paulo Mesquita Lopes
303674,2019/2020,La Liga,Sevilla,Diego Carlos Santos Silva
303674,2019/2020,La Liga,Sevilla,Lucas Ariel Ocampos
303674,2019/2020,La Liga,Sevilla,Jules Koundé
303674,2019/2020,La Liga,Sevilla,Éver Maximiliano David Banega
303674,2019/2020,La Liga,Sevilla,Youssef En-Nesyri
303674,2019/2020,La Liga,Sevilla,Munir El Haddadi Mohamed
303674,2019/2020,La Liga,Sevilla,Joan Jordán Moreno
303674,2019/2020,La Liga,Sevilla,Sergio Escudero Palomo
303674,2019/2020,La Liga,Sevilla,Franco Damián Vázquez
303674,2019/2020,La Liga,Sevilla,Yassine Bounou
303674,2019/2020,La Liga,Sevilla,Sergi Gómez Solà
303674,2019/2020,La Liga,Sevilla,Jesús Navas González
303674,2019/2020,La Liga,Sevilla,Jesús Joaquín Fernández Sáez de la Torre
303674,2019/2020,La Liga,Sevilla,Tomáš Vaclík
3773631,2020/2021,La Liga,Barcelona,Ronald Federico Araújo da Silva
3773631,2020/2021,La Liga,Barcelona,Arnau Tenas Ureña
3773631,2020/2021,La Liga,Barcelona,Óscar Mingueza García
16173,2018/2019,La Liga,Athletic Club,Yuri Berchiche Izeta
3773665,2020/2021,La Liga,Barcelona,Sergio Busquets i Burgos
3773665,2020/2021,La Liga,Barcelona,Jordi Alba Ramos
3773665,2020/2021,La Liga,Barcelona,Ousmane Dembélé
3773665,2020/2021,La Liga,Barcelona,Antoine Griezmann
3773665,2020/2021,La Liga,Barcelona,Samuel Yves Umtiti
3773665,2020/2021,La Liga,Barcelona,Lionel Andrés Messi Cuccittini
3773665,2020/2021,La Liga,Barcelona,Norberto Murara Neto
3773665,2020/2021,La Liga,Barcelona,Clément Lenglet
3773665,2020/2021,La Liga,Barcelona,Miralem Pjanić
3773665,2020/2021,La Liga,Barcelona,Frenkie de Jong
3773665,2020/2021,La Liga,Barcelona,Héctor Junior Firpo Adames
3773665,2020/2021,La Liga,Barcelona,Marc-André ter Stegen
3773665,2020/2021,La Liga,Barcelona,Sergino Dest
3773665,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão
3773665,2020/2021,La Liga,Barcelona,Ricard Puig Martí
3773665,2020/2021,La Liga,Barcelona,Matheus Fernandes Siqueira
3773665,2020/2021,La Liga,Barcelona,Pedro González López
3773665,2020/2021,La Liga,Barcelona,Ignacio Peña Sotorres
3773665,2020/2021,La Liga,Barcelona,Moriba Kourouma Kourouma
3773665,2020/2021,La Liga,Barcelona,Óscar Mingueza García
3773665,2020/2021,La Liga,Osasuna,Jonathan Rodríguez Menéndez
3773665,2020/2021,La Liga,Osasuna,Ignacio Vidal Miralles
3773665,2020/2021,La Liga,Osasuna,Darko Brašanac
3773665,2020/2021,La Liga,Osasuna,Adrián López Álvarez
16131,2018/2019,La Liga,Barcelona,Jeison Fabián Murillo Cerón
303377,2019/2020,La Liga,Barcelona,Rey Manaj
16131,2018/2019,La Liga,Barcelona,Denis Suárez Fernández
3749108,2003/2004,Premier League,Aston Villa,Alpay Fehmi Özalan
16131,2018/2019,La Liga,Barcelona,Clément Lenglet
303377,2019/2020,La Liga,Barcelona,Anssumane Fati
16131,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo
3749108,2003/2004,Premier League,Aston Villa,Olof Mellberg
303377,2019/2020,La Liga,Barcelona,Ronald Federico Araújo da Silva
303524,2019/2020,La Liga,Atlético Madrid,Thomas Lemar
16131,2018/2019,La Liga,Barcelona,Jasper Cillessen
3749108,2003/2004,Premier League,Aston Villa,Thomas Hitzlsperger
16131,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo
3773689,2020/2021,La Liga,Villarreal,Alberto Moreno Pérez
3749108,2003/2004,Premier League,Aston Villa,Thomas Løvendahl Sørensen
16131,2018/2019,La Liga,Barcelona,Carles Aleña Castillo
16131,2018/2019,La Liga,Barcelona,Marc-André ter Stegen
3773689,2020/2021,La Liga,Villarreal,Etienne Capoue
3749108,2003/2004,Premier League,Aston Villa,Darius Vassell
16131,2018/2019,La Liga,Eibar,Marko Dmitrović
3773689,2020/2021,La Liga,Villarreal,José Ramiro Funes Mori
16131,2018/2019,La Liga,Eibar,Sergio Enrich Ametller
3773689,2020/2021,La Liga,Villarreal,Carlos Arturo Bacca Ahumada
3773689,2020/2021,La Liga,Villarreal,Francisco Alcácer García
3749108,2003/2004,Premier League,Aston Villa,Ronny Johnsen
16131,2018/2019,La Liga,Eibar,Joan Jordán Moreno
3773689,2020/2021,La Liga,Villarreal,Daniel Parejo Muñoz
16131,2018/2019,La Liga,Eibar,José Ángel Valdés Díaz
3749108,2003/2004,Premier League,Aston Villa,Jlloyd Tafari Samuel
3773689,2020/2021,La Liga,Villarreal,Gerónimo Rulli
3773689,2020/2021,La Liga,Villarreal,Alfonso Pedraza Sag
16131,2018/2019,La Liga,Eibar,Paulo André Rodrigues de Oliveira
3773689,2020/2021,La Liga,Villarreal,Sergio Asenjo Andrés
3749108,2003/2004,Premier League,Aston Villa,Ulises Hernán de la Cruz Bernardo
3773689,2020/2021,La Liga,Villarreal,Gerard Moreno Balaguero
16131,2018/2019,La Liga,Eibar,Anaitz Arbilla Zabala
3773689,2020/2021,La Liga,Villarreal,Manuel Trigueros Muñoz
3749108,2003/2004,Premier League,Aston Villa,Mark Anthony Delaney
16131,2018/2019,La Liga,Eibar,Rubén Peña Jiménez
16131,2018/2019,La Liga,Eibar,Enrique García Martínez
3773689,2020/2021,La Liga,Villarreal,Mario Gaspar Pérez Martínez
3749108,2003/2004,Premier League,Aston Villa,Juan Pablo Ángel Arango
16131,2018/2019,La Liga,Eibar,Gonzalo Escalante
3773689,2020/2021,La Liga,Villarreal,Jaume Vicent Costa Jordá
3773689,2020/2021,La Liga,Villarreal,Pau Francisco Torres
16131,2018/2019,La Liga,Eibar,Papa Kouly Diop
3749108,2003/2004,Premier League,Aston Villa,Lee Hendrie
3773689,2020/2021,La Liga,Villarreal,Raúl Albiol i Tortajada
16131,2018/2019,La Liga,Eibar,Fabián Ariel Orellana Valenzuela
3773689,2020/2021,La Liga,Villarreal,Moisés Gómez Bordonado
3749108,2003/2004,Premier League,Aston Villa,Hassan Kachloul
16131,2018/2019,La Liga,Eibar,Pedro Bigas Rigo
3773689,2020/2021,La Liga,Villarreal,Samuel Chimerenka Chukwueze
16131,2018/2019,La Liga,Eibar,Pablo Ezequiel De Blasis
3749108,2003/2004,Premier League,Aston Villa,Mark Kinsella
16131,2018/2019,La Liga,Eibar,Asier Riesgo Unamuno
3749108,2003/2004,Premier League,Aston Villa,Stefan Postma
3773689,2020/2021,La Liga,Villarreal,Juan Marcos Foyth
3749108,2003/2004,Premier League,Arsenal,Ashley Cole
3773689,2020/2021,La Liga,Villarreal,Pervis Josué Estupiñán Tenorio
16131,2018/2019,La Liga,Eibar,Pere Milla Peña
3749108,2003/2004,Premier League,Arsenal,Dennis Bergkamp
16131,2018/2019,La Liga,Eibar,Sergio Álvarez Díaz
3773689,2020/2021,La Liga,Villarreal,Fernando Niño Rodriguez
16131,2018/2019,La Liga,Eibar,Marc Cardona Rovira
3749108,2003/2004,Premier League,Arsenal,Sylvain Wiltord
16131,2018/2019,La Liga,Eibar,Marc Cucurella Saseta
3773587,2020/2021,La Liga,Barcelona,Clément Lenglet
303682,2019/2020,La Liga,Barcelona,Ignacio Peña Sotorres
3773587,2020/2021,La Liga,Barcelona,Miralem Pjanić
3773587,2020/2021,La Liga,Barcelona,Frenkie de Jong
303682,2019/2020,La Liga,Levante UD,Óscar Esau Duarte Gaitán
303682,2019/2020,La Liga,Levante UD,Rúben Miguel Nunes Vezo
3773587,2020/2021,La Liga,Barcelona,Carles Aleña Castillo
3773587,2020/2021,La Liga,Barcelona,Héctor Junior Firpo Adames
303682,2019/2020,La Liga,Levante UD,José Luis Morales Nogales
3773587,2020/2021,La Liga,Barcelona,Sergino Dest
303682,2019/2020,La Liga,Levante UD,Jorge Andújar Moreno
303682,2019/2020,La Liga,Levante UD,Rubén Rochina Naixes
3773587,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão
303682,2019/2020,La Liga,Levante UD,Sergio Postigo Redondo
3773587,2020/2021,La Liga,Barcelona,Ricard Puig Martí
303682,2019/2020,La Liga,Levante UD,Roger Martí Salvador
3773587,2020/2021,La Liga,Barcelona,Pedro González López
303682,2019/2020,La Liga,Levante UD,José Ángel Gómez Campaña
3773587,2020/2021,La Liga,Barcelona,Anssumane Fati
3773587,2020/2021,La Liga,Barcelona,Ronald Federico Araújo da Silva
303682,2019/2020,La Liga,Levante UD,Enis Bardhi
3773587,2020/2021,La Liga,Barcelona,Ignacio Peña Sotorres
303682,2019/2020,La Liga,Levante UD,Antonio García Aranda
3773587,2020/2021,La Liga,Barcelona,Arnau Tenas Ureña
3773587,2020/2021,La Liga,Barcelona,Óscar Mingueza García
303682,2019/2020,La Liga,Levante UD,Gonzalo Julián Melero Manzanares
3773587,2020/2021,La Liga,Getafe,Allan Romeo Nyom
303682,2019/2020,La Liga,Levante UD,Jorge Miramón Santagertrudis
3773587,2020/2021,La Liga,Getafe,Ángel Luis Rodríguez Díaz
303682,2019/2020,La Liga,Levante UD,Hernâni Jorge Santos Fortes
3773587,2020/2021,La Liga,Getafe,Damián Nicolás Suárez Suárez
303682,2019/2020,La Liga,Levante UD,Nikola Vukčević
3773587,2020/2021,La Liga,Getafe,Djené Dakonam Ortega
3773587,2020/2021,La Liga,Getafe,José Manuel Rodríguez Benito
303682,2019/2020,La Liga,Levante UD,Borja Mayoral Moya
3773587,2020/2021,La Liga,Getafe,David Soria Solís
303682,2019/2020,La Liga,Levante UD,Aitor Fernández Abarisketa
3773587,2020/2021,La Liga,Getafe,Enes Ünal
303682,2019/2020,La Liga,Levante UD,Carlos Clerc Martínez
3773587,2020/2021,La Liga,Getafe,David Timor Copoví
303682,2019/2020,La Liga,Levante UD,Daniel Cárdenas Lindez
3773587,2020/2021,La Liga,Getafe,Xabier Etxeita Gorritxategi
3773586,2020/2021,La Liga,Granada,Dimitri Foulquier
3773587,2020/2021,La Liga,Getafe,Erick Cathriel Cabaco Almada
3773377,2020/2021,La Liga,Valencia,Eliaquim Mangala
3773587,2020/2021,La Liga,Getafe,Mauro Wilney Arambarri Rosa
3773377,2020/2021,La Liga,Valencia,Mouctar Diakhaby
3773587,2020/2021,La Liga,Getafe,Francisco Portillo Soler
3773377,2020/2021,La Liga,Valencia,Gonçalo Manuel Ganchinho Guedes
3773587,2020/2021,La Liga,Getafe,Nemanja Maksimović
3773377,2020/2021,La Liga,Valencia,Denis Cheryshev
3773587,2020/2021,La Liga,Getafe,Mathías Olivera Miramontes
3773377,2020/2021,La Liga,Valencia,Maximiliano Gómez González
3773587,2020/2021,La Liga,Getafe,Jaime Mata Arnaiz
3773377,2020/2021,La Liga,Valencia,Carlos Soler Barragán
16240,2018/2019,La Liga,Barcelona,Clément Lenglet
3749431,2003/2004,Premier League,Arsenal,Sylvain Wiltord
3749196,2003/2004,Premier League,Tottenham Hotspur,Robbie Keane
3749431,2003/2004,Premier League,Arsenal,Patrick Vieira
3749192,2003/2004,Premier League,Arsenal,Dennis Bergkamp
16240,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo
3749431,2003/2004,Premier League,Arsenal,Thierry Henry
3749192,2003/2004,Premier League,Arsenal,Thierry Henry
16240,2018/2019,La Liga,Barcelona,Kevin-Prince Boateng
3749431,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell
3749192,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell
16240,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo
3749431,2003/2004,Premier League,Arsenal,Martin Keown
3749192,2003/2004,Premier League,Arsenal,Fredrik Ljungberg
16240,2018/2019,La Liga,Barcelona,Carles Aleña Castillo
3749431,2003/2004,Premier League,Arsenal,Robert Pirès
3749192,2003/2004,Premier League,Arsenal,Robert Pirès
16240,2018/2019,La Liga,Barcelona,Marc-André ter Stegen
3749431,2003/2004,Premier League,Arsenal,Jens Lehmann
16240,2018/2019,La Liga,Barcelona,Ignacio Peña Sotorres
3749431,2003/2004,Premier League,Arsenal,Gaël Clichy
3749192,2003/2004,Premier League,Arsenal,Jens Lehmann
3749431,2003/2004,Premier League,Arsenal,José Antonio Reyes Calderón
3749192,2003/2004,Premier League,Arsenal,Gaël Clichy
16240,2018/2019,La Liga,Villarreal,Vicente Iborra De La Fuente
3749192,2003/2004,Premier League,Arsenal,Justin Hoyte
3749431,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar
16240,2018/2019,La Liga,Villarreal,Karl Brillant Toko Ekambi
3749192,2003/2004,Premier League,Arsenal,Nwankwo Christian Kanu
3749431,2003/2004,Premier League,Arsenal,Kolo Habib Touré
16240,2018/2019,La Liga,Villarreal,José Ramiro Funes Mori
3749192,2003/2004,Premier League,Arsenal,Eduardo César Daude Gaspar
3749431,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva
16240,2018/2019,La Liga,Villarreal,Carlos Arturo Bacca Ahumada
3749431,2003/2004,Premier League,Arsenal,Laureano Bisan-Etame Mayer
3749192,2003/2004,Premier League,Arsenal,Pascal Cygan
16240,2018/2019,La Liga,Villarreal,Alfonso Pedraza Sag
3749431,2003/2004,Premier League,Arsenal,Rami Shaaban
3749192,2003/2004,Premier League,Arsenal,Kolo Habib Touré
16240,2018/2019,La Liga,Villarreal,Víctor Ruíz Torre
3749192,2003/2004,Premier League,Arsenal,Gilberto Aparecido da Silva
16240,2018/2019,La Liga,Villarreal,Daniel Raba Antolín
3749431,2003/2004,Premier League,Newcastle United,Aaron Hughes
16240,2018/2019,La Liga,Villarreal,Sergio Asenjo Andrés
3749192,2003/2004,Premier League,Arsenal,Jérémie Aliadière
16240,2018/2019,La Liga,Villarreal,Álvaro González Soberón
3749431,2003/2004,Premier League,Newcastle United,Shay Given
3749192,2003/2004,Premier League,Arsenal,Graham Stack
16240,2018/2019,La Liga,Villarreal,Mario Gaspar Pérez Martínez
3749431,2003/2004,Premier League,Newcastle United,Gary Speed
3749192,2003/2004,Premier League,Fulham,Edwin van der Sar
3749192,2003/2004,Premier League,Fulham,Louis Saha
3749431,2003/2004,Premier League,Newcastle United,Steve Harper
16240,2018/2019,La Liga,Villarreal,Daniele Bonera
16240,2018/2019,La Liga,Villarreal,Andrés Eduardo Fernández Moreno
3749192,2003/2004,Premier League,Fulham,Lee Clark
3749431,2003/2004,Premier League,Newcastle United,Hugo Miguel Ferreira Gomes Viana
16240,2018/2019,La Liga,Villarreal,Manuel Morlanes Ariño
16240,2018/2019,La Liga,Villarreal,Santiago Cáseres
3749431,2003/2004,Premier League,Newcastle United,Jonathan Woodgate
3749192,2003/2004,Premier League,Fulham,Steed Malbranque
16240,2018/2019,La Liga,Villarreal,Santiago Cazorla González
3749431,2003/2004,Premier League,Newcastle United,"Andy O""Brien"
16240,2018/2019,La Liga,Villarreal,Samuel Chimerenka Chukwueze
3749192,2003/2004,Premier League,Fulham,Moritz Volz
3749431,2003/2004,Premier League,Newcastle United,Craig Bellamy
3749192,2003/2004,Premier League,Fulham,Junichi Inamoto
16240,2018/2019,La Liga,Villarreal,Xavier Quintillà Guasch
16240,2018/2019,La Liga,Villarreal,Iván Martín Núñez
3773587,2020/2021,La Liga,Getafe,Juan Camilo Hernández Suárez
3773587,2020/2021,La Liga,Getafe,Marc Cucurella Saseta
3749274,2003/2004,Premier League,Portsmouth,Matthew Taylor
3749274,2003/2004,Premier League,Portsmouth,Richard Duffy
3773587,2020/2021,La Liga,Getafe,Víctor Mollejo Carpintero
3749274,2003/2004,Premier League,Portsmouth,Teddy Sheringham
3749274,2003/2004,Premier League,Portsmouth,Steve Stone
3773587,2020/2021,La Liga,Getafe,Ante Palaversa
3773587,2020/2021,La Liga,Getafe,Orlando Rubén Yáñez Alabart
3749274,2003/2004,Premier League,Portsmouth,Ivica Mornar
16056,2018/2019,La Liga,Barcelona,Sergio Busquets i Burgos
3749274,2003/2004,Premier League,Portsmouth,Shaka Hislop
3749274,2003/2004,Premier League,Portsmouth,Yakubu Aiyegbeni
16056,2018/2019,La Liga,Barcelona,Jordi Alba Ramos
3749274,2003/2004,Premier League,Portsmouth,Nigel Quashie
16056,2018/2019,La Liga,Barcelona,Gerard Piqué Bernabéu
3749274,2003/2004,Premier League,Portsmouth,Arjan de Zeeuw
16056,2018/2019,La Liga,Barcelona,Luis Alberto Suárez Díaz
3749274,2003/2004,Premier League,Portsmouth,Dejan Stefanovic
16056,2018/2019,La Liga,Barcelona,Ivan Rakitić
3749274,2003/2004,Premier League,Portsmouth,Amdy Moustapha Faye
16056,2018/2019,La Liga,Barcelona,Samuel Yves Umtiti
3749274,2003/2004,Premier League,Portsmouth,Richard Hughes
16056,2018/2019,La Liga,Barcelona,Lionel Andrés Messi Cuccittini
16056,2018/2019,La Liga,Barcelona,Nélson Cabral Semedo
3749274,2003/2004,Premier League,Portsmouth,John Curtis
16056,2018/2019,La Liga,Barcelona,Sergi Roberto Carnicer
16056,2018/2019,La Liga,Barcelona,Denis Suárez Fernández
3749274,2003/2004,Premier League,Portsmouth,Trésor Lomana LuaLua
16056,2018/2019,La Liga,Barcelona,Munir El Haddadi Mohamed
16056,2018/2019,La Liga,Barcelona,Clément Lenglet
3749274,2003/2004,Premier League,Portsmouth,Harald Wapenaar
16056,2018/2019,La Liga,Barcelona,Arturo Erasmo Vidal Pardo
3749274,2003/2004,Premier League,Portsmouth,Kevin Harper
3749274,2003/2004,Premier League,Arsenal,Ashley Cole
16056,2018/2019,La Liga,Barcelona,Jasper Cillessen
3749274,2003/2004,Premier League,Arsenal,Patrick Vieira
16056,2018/2019,La Liga,Barcelona,Arthur Henrique Ramos de Oliveira Melo
3749274,2003/2004,Premier League,Arsenal,Thierry Henry
16056,2018/2019,La Liga,Barcelona,Carles Aleña Castillo
3749274,2003/2004,Premier League,Arsenal,Sulzeer Jeremiah ''Sol' Campbell
16056,2018/2019,La Liga,Barcelona,Marc-André ter Stegen
3749274,2003/2004,Premier League,Arsenal,Martin Keown
16056,2018/2019,La Liga,Real Betis,Giovani Lo Celso
3749274,2003/2004,Premier League,Arsenal,Fredrik Ljungberg
16056,2018/2019,La Liga,Real Betis,William Silva de Carvalho
3749431,2003/2004,Premier League,Newcastle United,Laurent Robert
3773661,2020/2021,La Liga,Barcelona,Miralem Pjanić
3749431,2003/2004,Premier League,Newcastle United,Lee Bowyer
3773661,2020/2021,La Liga,Barcelona,Frenkie de Jong
3749431,2003/2004,Premier League,Newcastle United,Darren Ambrose
3773661,2020/2021,La Liga,Barcelona,Héctor Junior Firpo Adames
3773661,2020/2021,La Liga,Barcelona,Marc-André ter Stegen
3749431,2003/2004,Premier League,Newcastle United,Titus Malachi Bramble
3773661,2020/2021,La Liga,Barcelona,Sergino Dest
3773661,2020/2021,La Liga,Barcelona,Francisco António Machado Mota de Castro Trincão
3749431,2003/2004,Premier League,Newcastle United,Alan Shearer
3773661,2020/2021,La Liga,Barcelona,Ricard Puig Martí
3773661,2020/2021,La Liga,Barcelona,Matheus Fernandes Siqueira
